ID - Instantes,Python,JavaScript,Ruby on Rails,PHP,C#,C++,C,BUG,DEV
1,7,12,1,9,4,1,3,5,3
2,12,4,12,1,12,9,9,5,4
3,13,10,9,5,2,1,6,1,10
4,4,1,10,10,9,8,11,4,7
5,7,8,8,10,6,4,10,10,3
6,2,5,12,8,8,13,7,10,10
7,7,12,13,12,2,10,4,10,7
8,11,11,9,8,3,4,10,8,10
9,3,11,7,6,1,10,12,7,10
10,1,9,11,8,12,10,9,5,2
11,7,2,13,6,6,11,1,4,6
12,11,7,9,3,4,7,5,6,5
13,1,2,11,9,5,12,1,9,9
14,10,6,8,10,3,1,9,2,2
15,6,1,2,3,7,7,6,7,1
16,10,1,1,6,6,10,11,2,5
17,1,11,7,11,9,1,7,4,2
18,10,2,3,11,9,5,5,2,2
19,11,12,10,10,11,9,2,1,2
20,3,7,1,13,6,12,6,1,7
21,1,8,8,9,4,6,3,1,1
22,7,8,8,1,10,2,11,4,6
23,10,1,11,9,6,4,5,2,8
24,11,12,10,6,7,1,9,1,2
25,6,11,1,2,11,12,11,4,5
26,6,3,3,1,10,13,7,1,10
27,10,1,10,5,7,8,13,10,7
28,5,7,6,12,4,4,11,9,5
29,6,8,3,9,3,6,13,9,9
30,13,4,2,7,7,9,4,3,4
31,11,2,2,2,6,8,12,10,1
32,9,10,11,13,7,6,3,10,9
33,2,9,6,10,7,7,8,3,2
34,4,3,8,13,10,6,8,2,8
35,3,13,13,5,1,3,3,9,1
36,9,3,12,2,2,8,4,9,6
37,3,3,12,12,7,4,13,10,10
38,11,9,1,9,12,2,2,5,4
39,10,6,2,12,11,3,13,7,2
40,9,7,13,5,8,7,2,2,2
41,5,9,10,11,11,9,2,4,9
42,2,12,9,2,1,12,4,2,3
43,9,10,3,2,11,10,6,4,3
44,6,4,5,6,9,6,2,9,8
45,10,12,4,1,11,5,10,2,4
46,10,7,1,12,11,2,10,4,7
47,11,1,11,11,4,2,4,9,6
48,11,7,2,6,4,13,1,8,8
49,5,3,10,10,12,8,6,1,2
50,6,9,11,10,12,6,1,7,3
51,1,12,6,9,11,13,4,1,8
52,5,2,9,4,4,7,9,7,7
53,6,4,5,5,5,12,9,8,6
54,5,6,6,5,7,2,12,9,2
55,3,2,11,12,11,1,10,9,6
56,6,2,10,3,8,6,11,2,8
57,13,2,11,4,5,6,13,4,6
58,3,10,2,11,8,4,3,7,6
59,3,8,7,6,4,1,7,1,10
60,3,9,1,9,2,4,2,9,2
61,3,6,4,7,2,2,3,10,3
62,8,1,13,3,2,10,13,5,6
63,4,7,12,2,6,2,10,1,3
64,4,7,6,7,9,1,2,4,7
65,5,4,4,5,8,9,3,5,9
66,10,1,8,11,11,7,5,5,3
67,13,2,2,7,12,7,6,7,2
68,12,8,13,8,1,12,5,2,10
69,8,8,12,5,5,9,4,8,3
