ID - Instantes,Python,JavaScript,Ruby on Rails,PHP,C#,C++,C,BUG,DEV
1,2,7,6,12,13,10,6,1,4
2,12,6,5,2,10,2,1,9,9
3,1,1,4,8,7,2,2,8,9
4,4,3,6,9,3,6,1,6,1
5,7,3,13,4,8,12,8,10,9
6,2,1,13,1,6,10,12,5,8
7,10,2,9,11,7,3,5,6,10
8,5,12,2,5,7,10,8,5,2
9,4,9,4,1,3,4,6,5,4
10,7,1,3,2,4,7,2,6,3
11,2,13,3,12,12,12,12,5,6
12,2,6,1,5,2,5,12,5,3
13,8,1,7,5,6,11,12,4,3
14,6,6,3,7,6,13,1,8,9
15,13,11,12,12,12,13,9,2,9
16,12,6,9,5,8,8,3,5,7
17,1,13,3,10,8,2,3,2,1
18,7,2,8,12,6,3,5,3,5
19,5,12,11,5,11,10,12,7,7
20,6,4,3,11,3,4,9,7,2
21,1,11,7,12,10,1,3,3,7
22,4,2,4,1,5,7,11,3,1
23,5,10,13,11,4,7,1,10,2
24,6,1,5,2,8,8,6,6,2
25,13,7,9,6,9,13,4,3,6
26,8,8,9,6,13,3,12,6,3
27,11,4,3,6,1,6,7,3,8
28,2,3,12,2,8,7,11,1,7
29,7,4,7,5,12,4,9,7,3
30,7,4,13,11,10,6,6,9,1
31,11,5,11,2,6,10,10,2,1
32,2,5,8,12,7,2,7,8,4
33,8,12,12,10,13,2,3,8,3
34,11,7,2,6,7,13,8,6,1
35,13,9,4,12,7,12,12,6,10
36,7,13,13,1,9,4,2,4,6
37,2,7,5,11,6,8,6,7,8
38,3,4,8,1,13,4,13,1,5
39,6,13,12,1,12,6,5,4,10
40,8,1,6,2,4,10,7,7,10
41,3,9,12,8,13,8,2,5,4
42,10,10,12,8,6,8,1,5,5
43,12,1,12,8,1,7,10,4,9
44,12,1,9,9,12,10,2,1,1
45,1,13,13,5,6,7,1,4,2
46,12,13,6,12,10,5,10,4,7
47,8,13,12,11,10,8,13,10,2
48,9,10,2,5,6,6,9,9,9
49,11,5,5,11,4,13,2,2,1
50,6,4,7,2,7,11,11,4,3
51,8,11,9,7,4,3,9,5,8
52,13,13,5,12,6,9,1,1,7
53,13,5,4,9,11,13,13,1,6
54,5,5,4,7,11,11,13,7,5
55,3,1,5,1,8,10,9,2,4
56,1,5,12,10,1,3,1,4,8
57,9,13,5,13,9,5,11,1,6
58,1,3,4,6,10,5,7,6,8
59,4,4,9,1,3,5,10,8,6
60,1,5,10,7,10,2,2,5,4
61,6,9,4,9,11,9,7,1,10
62,4,8,11,1,5,4,10,9,1
63,6,7,12,9,4,6,2,10,9
64,3,4,8,8,7,1,3,5,2
65,13,7,9,12,4,9,2,10,3
66,7,4,5,3,4,13,9,4,7
67,4,4,4,7,1,4,9,10,6
68,1,10,7,2,1,10,8,1,2
69,12,9,2,2,5,10,2,10,3
70,7,13,4,12,7,8,11,10,6
71,9,8,9,8,8,8,9,10,3
72,13,12,8,8,2,2,9,4,7
73,7,11,9,2,5,4,12,5,3
74,3,1,11,3,8,11,1,1,10
75,2,13,6,12,7,12,7,9,10
76,9,6,10,10,9,5,4,7,2
77,3,11,11,13,5,8,4,8,6
78,2,11,3,7,3,12,3,10,7
79,12,1,6,11,5,5,3,9,7
80,13,6,6,13,9,9,5,6,5
81,3,13,1,9,4,1,6,9,8
82,12,12,13,12,9,1,12,3,4
83,9,9,6,6,2,2,13,7,5
84,11,6,7,3,12,2,7,1,4
85,4,4,5,12,2,11,6,4,4
86,10,13,12,9,8,12,2,3,10
87,13,6,4,1,12,9,4,7,1
88,1,9,2,2,8,13,8,3,2
89,7,12,8,11,9,8,2,2,1
90,2,4,12,8,10,6,3,9,8
91,8,7,8,2,9,5,8,2,1
92,4,4,5,6,1,12,13,10,6
93,11,5,8,9,9,4,2,10,7
94,5,4,13,10,12,2,4,3,5
95,11,8,1,11,11,12,10,8,1
96,2,9,9,5,4,2,3,6,5
97,12,3,11,5,4,8,8,1,2
98,4,3,8,10,6,7,12,7,1
99,12,1,13,9,1,13,6,10,7
100,3,7,8,7,1,5,12,4,9
101,7,3,13,12,11,9,11,6,4
102,2,11,8,6,9,5,1,4,9
103,5,12,8,12,7,3,5,10,3
104,5,2,1,3,12,10,2,9,6
105,8,2,8,4,1,6,4,3,8
106,3,12,7,3,10,12,12,10,9
107,9,5,8,2,7,9,11,3,4
108,7,8,13,8,13,7,1,2,10
109,12,2,13,10,8,10,8,1,1
110,3,11,11,10,12,3,4,4,3
111,9,7,11,4,6,6,9,2,2
112,5,4,8,5,6,7,2,7,9
113,11,7,5,4,6,5,13,8,2
114,7,9,12,6,5,2,8,1,9
115,13,8,1,8,1,3,7,8,9
116,12,12,6,12,5,11,9,1,10
117,4,2,12,5,13,9,12,1,2
118,4,1,3,9,13,8,10,3,9
119,11,11,5,7,9,12,8,5,7
120,4,2,4,8,13,10,12,2,2
121,13,1,8,11,4,7,2,1,2
122,7,2,2,10,5,11,3,3,6
123,13,13,9,2,11,11,10,7,1
124,11,9,9,6,10,10,11,3,9
125,9,12,5,7,8,1,10,1,9
126,5,12,10,2,2,11,2,9,9
127,11,2,5,11,10,12,6,6,1
128,1,12,13,5,6,8,7,7,6
129,5,3,2,10,6,7,2,5,5
130,3,13,8,4,11,4,5,6,1
131,4,7,12,8,12,13,12,2,6
132,1,2,2,11,1,1,5,9,1
133,6,1,9,1,3,2,12,10,2
134,8,9,1,1,5,1,1,8,9
135,11,1,1,5,11,3,6,9,1
136,5,2,6,12,2,3,6,9,7
137,3,13,12,7,2,1,6,2,1
138,4,11,4,1,3,11,11,7,5
139,2,13,5,3,8,12,13,10,2
140,7,13,4,2,10,12,7,9,8
141,13,5,12,11,1,8,7,10,3
142,9,12,2,6,10,4,12,10,3
143,10,8,2,11,8,2,10,3,7
144,3,6,12,1,7,11,3,4,9
145,6,4,9,8,6,13,9,2,4
146,5,13,5,2,11,6,12,3,4
147,3,6,4,12,13,9,10,9,1
148,7,2,6,7,1,2,1,8,1
149,10,11,11,4,5,5,4,2,1
150,3,9,1,8,11,6,2,10,4
151,8,13,9,8,5,2,4,4,10
152,5,6,10,2,13,5,9,9,4
153,7,5,7,7,4,1,5,6,8
154,5,2,7,1,10,9,8,5,9
155,8,9,1,13,9,5,10,3,10
156,7,4,1,6,12,13,6,2,4
157,4,10,10,9,2,5,10,2,3
158,6,10,8,7,12,11,9,5,7
159,6,2,13,4,1,6,5,10,10
160,6,1,10,13,1,4,12,9,5
161,2,5,9,3,3,8,1,3,5
162,13,2,5,5,10,11,9,1,7
163,13,5,1,10,8,6,7,7,5
164,3,3,11,4,6,6,3,5,8
165,7,10,9,2,6,5,8,7,8
166,9,6,1,5,4,13,13,3,8
167,6,10,3,7,6,11,12,2,2
168,8,13,1,10,10,11,9,1,9
169,12,1,10,2,7,13,5,2,9
170,9,7,9,12,11,3,9,2,6
171,11,8,7,2,1,4,3,10,8
172,5,9,1,10,9,12,10,8,7
173,11,1,7,9,5,12,9,9,7
174,1,1,2,11,3,6,10,10,6
175,12,5,10,11,1,6,4,7,4
176,10,1,3,3,4,5,9,4,9
177,9,2,3,5,10,6,4,6,9
178,5,11,13,3,1,3,12,6,10
179,9,4,8,3,3,3,9,3,5
180,6,3,5,9,4,11,13,7,8
181,11,10,11,3,1,4,1,7,6
182,11,3,8,5,1,6,12,3,7
183,11,9,8,8,1,4,10,5,10
184,9,1,4,9,7,3,4,3,7
185,9,5,12,12,4,4,11,10,8
186,9,11,8,5,3,5,12,2,10
187,2,7,11,3,3,1,9,8,10
188,1,7,2,3,2,12,13,2,2
189,7,13,7,11,6,3,13,3,5
190,13,11,3,8,1,7,11,2,3
191,4,10,1,10,5,8,10,9,4
192,2,13,6,3,8,7,7,6,4
193,11,13,4,12,2,3,3,3,10
194,13,7,7,7,3,7,8,6,2
195,3,11,5,5,3,10,10,7,10
196,10,12,11,6,8,10,3,2,7
197,1,4,6,3,4,1,4,1,7
198,10,12,9,7,5,12,9,6,6
199,11,10,13,3,4,8,1,7,2
200,3,6,8,13,5,7,11,2,4
201,12,4,4,13,4,7,7,5,7
202,6,11,4,11,4,1,10,10,6
203,6,10,2,12,2,9,7,7,4
204,4,5,9,4,13,7,9,5,10
205,2,1,13,1,12,12,3,4,8
206,4,9,8,4,10,11,13,5,2
207,13,5,9,13,6,1,4,1,8
208,8,6,7,3,4,4,1,1,2
209,4,1,1,10,12,8,2,8,3
210,7,11,8,13,5,7,6,2,2
211,1,3,11,5,5,10,10,5,7
212,8,2,9,10,10,4,1,4,8
213,8,8,5,8,9,5,11,1,4
214,4,13,6,6,11,2,5,9,6
215,1,8,6,11,8,10,11,10,10
216,1,13,7,8,10,12,5,8,9
217,5,8,2,2,8,4,5,4,5
218,12,3,3,7,7,8,9,7,7
219,1,10,9,6,11,3,10,6,9
220,2,6,2,3,6,12,13,10,3
221,1,2,3,2,6,9,9,3,8
222,13,7,10,13,12,10,3,4,2
223,8,4,11,3,5,6,13,9,10
224,11,2,1,13,8,1,6,8,8
225,1,8,11,12,12,11,1,2,7
226,10,1,1,10,13,3,5,6,2
227,6,13,3,13,3,5,13,2,10
228,3,5,9,2,2,10,6,5,10
