ID - Instantes,Python,JavaScript,Ruby on Rails,PHP,C#,C++,C,BUG,DEV
1,2,1,4,8,12,10,12,10,8
2,5,9,2,6,6,12,7,9,5
3,10,2,1,5,3,2,3,8,4
4,11,10,6,9,12,3,12,9,5
5,11,3,11,13,3,11,5,3,2
6,2,7,8,1,4,2,2,6,10
7,13,13,4,8,13,11,5,1,1
8,10,6,3,5,7,5,10,2,1
9,8,11,13,11,8,8,4,1,9
10,10,4,10,13,1,7,10,9,3
11,12,13,5,10,7,1,2,2,1
12,8,3,9,10,2,11,8,1,2
13,13,1,12,2,5,10,10,1,5
14,5,7,6,7,11,11,4,10,4
15,2,5,3,11,6,3,4,6,7
16,3,5,5,11,11,5,3,8,9
17,2,11,3,13,2,13,8,4,10
18,12,6,10,2,4,9,13,7,5
19,5,6,7,1,1,8,4,1,6
20,3,8,3,10,7,1,6,6,9
21,9,9,2,1,12,13,4,5,6
22,7,12,8,8,5,10,11,9,9
23,2,8,4,8,8,12,3,7,6
24,2,10,2,8,1,1,12,8,10
25,7,5,9,5,3,5,9,6,3
26,3,3,3,9,7,5,3,9,4
27,12,4,6,10,12,4,11,4,1
28,12,3,6,3,2,8,9,6,9
29,10,9,4,11,7,5,1,10,1
30,2,3,10,5,10,8,3,8,4
31,5,9,3,5,13,7,13,7,10
32,5,9,7,13,13,7,9,5,2
33,1,12,11,7,9,13,7,2,9
34,12,10,4,11,4,1,6,2,8
35,2,3,3,11,3,5,12,4,8
36,9,4,1,9,6,2,8,3,5
37,8,7,4,9,11,12,2,7,3
38,1,10,13,3,4,4,8,8,1
39,3,11,1,5,13,11,10,6,4
40,1,12,10,8,12,13,10,1,4
41,6,10,4,12,7,1,13,3,3
42,12,8,2,3,11,4,5,3,7
43,13,13,11,13,11,2,9,3,5
44,13,9,3,3,11,13,6,3,7
45,6,13,4,9,3,9,3,10,6
46,12,4,13,10,1,2,6,8,1
47,12,12,7,11,7,2,7,7,7
48,12,13,8,13,6,6,7,7,7
49,5,5,4,8,6,1,7,1,8
